STATE,COUNTY,TRACT,NAME,ct10,ct9,MSSAdef,NCHS_County,NCHS_CBSA,NCHS_2013code,NCHS_2006code,NCHS_1990basedcode,NCHS2013_text
6,65,42724,427.24,6065042724,65042724,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42726,427.26,6065042726,65042726,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42728,427.28,6065042728,65042728,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42729,427.29,6065042729,65042729,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,39,300,3,6039000300,39000300,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,503,5.03,6039000503,39000503,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,506,5.06,6039000506,39000506,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,507,5.07,6039000507,39000507,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,508,5.08,6039000508,39000508,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,509,5.09,6039000509,39000509,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,603,6.03,6039000603,39000603,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,604,6.04,6039000604,39000604,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,700,7,6039000700,39000700,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,800,8,6039000800,39000800,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,900,9,6039000900,39000900,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,39,1000,10,6039001000,39001000,Rural,Madera County,"Madera, CA",4,4,3,Small merto
6,55,201601,2016.01,6055201601,55201601,Rural,Napa County,"Napa, CA",4,4,2,Small merto
6,55,201602,2016.02,6055201602,55201602,Rural,Napa County,"Napa, CA",4,4,2,Small merto
6,55,201700,2017,6055201700,55201700,Rural,Napa County,"Napa, CA",4,4,2,Small merto
6,55,201900,2019,6055201900,55201900,Rural,Napa County,"Napa, CA",4,4,2,Small merto
6,55,202000,2020,6055202000,55202000,Rural,Napa County,"Napa, CA",4,4,2,Small merto
6,57,102,1.02,6057000102,57000102,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,103,1.03,6057000103,57000103,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,104,1.04,6057000104,57000104,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,105,1.05,6057000105,57000105,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,61,21901,219.01,6061021901,61021901,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21902,219.02,6061021902,61021902,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,22002,220.02,6061022002,61022002,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,22011,220.11,6061022011,61022011,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,22014,220.14,6061022014,61022014,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,22100,221,6061022100,61022100,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
